"","player","role","mode","series_played","win_rate","kd"
"180","Blazt","SMG","Search & Destroy",43,46.3,1.04279279279279
"181","Atlas","AR","Hardpoint",8,46.2,0.955489614243323
"182","Breszy","SMG","Hardpoint",8,46.2,0.974212034383954
"183","Crimsix","SMG","Search & Destroy",67,46.2,1.03089430894309
"184","Natshay","SMG","Hardpoint",8,46.2,0.956647398843931
"185","Parasite","AR","Search & Destroy",29,46.2,0.976744186046512
"186","Scump","SMG","Search & Destroy",67,46.2,0.991289198606272
"187","Aches","AR","Search & Destroy",67,45.7,1.0275974025974
"188","Apathy","SMG","Search & Destroy",67,45.7,0.943307086614173
"189","Lacefield","SMG","Search & Destroy",28,45.7,0.919148936170213
"190","Dashy","AR","Capture The Flag",42,45.7,1.25125628140704
"191","Nameless","SMG","Hardpoint",34,45.5,0.994612794612795
"192","Nameless","SMG","Search & Destroy",33,45.5,0.919191919191919
"193","Nagafen","SMG","Capture The Flag",19,45,0.950904392764858
"194","Blazt","SMG","Hardpoint",43,44.8,0.908633372048006
"195","Joshh","SMG","Search & Destroy",59,44.8,0.956856702619414
"196","Decemate","SMG","Capture The Flag",65,44.8,1.04940374787053
"197","Braaain","AR","Search & Destroy",7,44.4,0.818181818181818
"198","GRVTY","SMG","Search & Destroy",8,44.4,0.712121212121212
"199","Goonjar","AR","Hardpoint",26,44.4,1.00596760443308
"200","MajorManiak","AR","Hardpoint",7,44.4,1.00900900900901
"201","MarkyB","SMG","Search & Destroy",7,44.4,0.981818181818182
"202","Royalty","SMG","Hardpoint",26,44.4,1.07588932806324
"203","Tisch","SMG","Search & Destroy",8,44.4,0.742424242424242
"204","Xotic","SMG","Hardpoint",26,44.4,0.98125
"205","General","AR","Search & Destroy",32,44.2,0.902173913043478
"206","Temp","SMG","Hardpoint",70,43.8,1.06219806763285
"207","Dashy","AR","Search & Destroy",42,43.6,1.26969696969697
"208","Ricky","AR","Hardpoint",55,43.3,0.983864915572233
"209","Parasite","AR","Hardpoint",29,43.1,1.10571184995737
